Position,Track Name,Artist,Streams,URL,Year,Month,Track ID,Danceability,Valence,Energy
50,Look Back at It,A Boogie Wit da Hoodie,96270,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8,2019,1,3Ol2xnObFdKV9pmRD2t9x8,0.791,0.587,0.536
51,Leave Me Alone,Flipp Dinero,94961,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g,2019,1,6V7g6qM8wheMivMWrzbPTM,0.792,0.743,0.742
52,7 Minutes,Dean Lewis,91476,https://open.spotify.com/track/2BkyYZmU4JuWW2sYi9EzpC,2019,1,2BkyYZmU4JuWW2sYi9EzpC,0.613,0.739,0.712
53,Money,Cardi B,89209,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e,2019,1,2GGMabyHXnJmjY6CXhhB2e,0.95,0.59,0.219
54,i'm so tired...,Lauv,88249,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI,2019,1,4vjpLMyL3ZO6aphdYr8XYw,0.599,0.733,0.534
55,Rise,Jonas Blue,88050,https://open.spotify.com/track/3KLygy1YWhmrQx0GRs7IOx,2019,1,69Sy7207dnixZ6w7RSV9Kb,0.459,0.663,0.412
56,In My Mind,Dynoro,87904,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,2019,1,0E9ZjEAyAwOXZ7wJC0PD33,0.694,0.77,0.163
57,SAD!,XXXTENTACION,85056,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,2019,1,3ee8Jmje8o58CHK66QrVC2,0.74,0.613,0.473
58,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,84505,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh,2019,1,2LskIZrCeLxRvCiGP8gxlh,0.703,0.723,0.288
59,rockstar (feat. 21 Savage),Post Malone,84500,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,2019,1,0e7ipj03S05BNilyu5bRzt,0.585,0.52,0.129
60,Wake Up in the Sky,Gucci Mane,84449,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud,2019,1,0QIjsbm2fh1cJ45XO9eGqq,0.8,0.578,0.367
61,Lucid Dreams,Juice WRLD,81834,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,2019,1,285pBltuF7vW8TeWk8hdRR,0.511,0.566,0.218
62,1999,Charli XCX,81333,https://open.spotify.com/track/05mAIVLkIWc2d1UBYZBCp8,2019,1,2QSUyofqpGDCo026OPiTBQ,0.864,0.826,0.596
63,I Fall Apart,Post Malone,78513,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh,2019,1,75ZvA4QfFiZvzhj2xkaWAh,0.556,0.538,0.291
64,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,78358,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019,1,4w8niZpiMy6qz1mntFA5uM,0.842,0.801,0.617
65,a lot,21 Savage,77411,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d,2019,1,2t8yVaLvJ0RenpXUIAC52d,0.837,0.636,0.274
66,This Feeling,The Chainsmokers,76938,https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl,2019,1,4NBTZtAt1F13VvlSKe6KTl,0.575,0.571,0.449
67,Moonlight,XXXTENTACION,75356,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,2019,1,0JP9xo3adEtGSdUEISiszL,0.921,0.537,0.711
68,3 Nights,Dominic Fike,73797,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u,2019,1,1tNJrcVe6gwLEiZCtprs1u,0.815,0.518,0.877
69,Lost In Japan - Remix,Shawn Mendes,73099,https://open.spotify.com/track/575NJxNUVDqwJGdzBrlLbv,2019,1,575NJxNUVDqwJGdzBrlLbv,0.706,0.855,0.293
70,Psycho (feat. Ty Dolla $ign),Post Malone,71655,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C,2019,1,3swc6WTsr7rl9DqQKQA55C,0.75,0.56,0.459
71,Africa,TOTO,71609,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX,2019,1,2374M0fQpWi3dLnB54qaLX,0.671,0.373,0.732
72,I'll Be There,Jess Glynne,71229,https://open.spotify.com/track/73FebDuELlAEinHw1xWJCZ,2019,1,4r1CoAATVuxag55Ct3Y1aX,0.627,0.858,0.399
73,no tears left to cry,Ariana Grande,70639,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo,2019,1,2qT1uLXPVPzGgFOx4jtEuo,0.699,0.713,0.354
