,Position,Track Name,Artist,Streams,URL,Year,Month
61,62,7 rings,Ariana Grande,68418,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,2019,07
62,63,MOOD 4 EVA (feat. Oumou Sangaré),Beyoncé,68095,https://open.spotify.com/track/7oqftogUN82Q7VNy2TmTJW,2019,07
63,64,Soaked,BENEE,67045,https://open.spotify.com/track/5p80uI2FhYGQZJRfzy7mb6,2019,07
64,65,Vossi Bop,Stormzy,66742,https://open.spotify.com/track/44ZJ4hLD5onikKsVLQaILr,2019,07
65,66,Without Me,Halsey,66302,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019,07
66,67,I Think I'm OKAY (with YUNGBLUD & Travis Barker),Machine Gun Kelly,65150,https://open.spotify.com/track/2gTdDMpNxIRFSiu7HutMCg,2019,07
67,68,Put It All on Me (feat. Ella Mai),Ed Sheeran,64730,https://open.spotify.com/track/5T03itPFOPGGkvVPvPiyla,2019,07
68,69,Come Home,Sons Of Zion,64484,https://open.spotify.com/track/2ASU8fV9hVvE2Aa0r8lrwE,2019,07
69,70,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,63892,https://open.spotify.com/track/3gdewACMIVMEWVbyb8O9sY,2019,07
70,71,Suge,DaBaby,63012,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB,2019,07
71,72,bury a friend,Billie Eilish,62940,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF,2019,07
72,73,Hate Me (with Juice WRLD),Ellie Goulding,62569,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE,2019,07
73,74,Dreams - 2004 Remaster,Fleetwood Mac,62468,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz,2019,07
74,75,Be Alright,Dean Lewis,62371,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy,2019,07
75,76,Vibes,SIX60,62276,https://open.spotify.com/track/5EKITWJXROxWdc0bcRrMLy,2019,07
76,77,wish you were gay,Billie Eilish,62251,https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD,2019,07
77,78,I Don't Belong In This Club,Why Don't We,62136,https://open.spotify.com/track/45ZGEdLxCZvdMX9jWlsAAx,2019,07
