Position,Track Name,Artist,Streams,URL,Year,Month,Track ID,Danceability,Valence,Energy
13,Adan y Eva,Paulo Londra,17547601,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019,1,6FyRXC8tJUh863JCkyWqtk,0.767,0.709,0.72
14,SICKO MODE,Travis Scott,17280171,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2019,1,2xLMifQCjDGFmkHkpNLD9h,0.834,0.73,0.446
15,Going Bad (feat. Drake),Meek Mill,17174274,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,2019,1,2IRZnDFmlqMuOrYOLnZZyc,0.889,0.496,0.544
16,Shallow,Lady Gaga,16829254,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019,1,2VxeLyX666F8uXCJ0dZF8B,0.572,0.385,0.323
17,Lost in the Fire,Gesaffelstein,15898519,https://open.spotify.com/track/7wFybC8jBH3zE139OpCtpG,2019,1,2vXKRlJBXyOcvZYTdNeckS,0.658,0.671,0.166
18,Secreto,Anuel AA,15649853,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0,2019,1,5W83ErFkO3aKAIS1WMi6u0,0.807,0.803,0.706
19,ZEZE (feat. Travis Scott & Offset),Kodak Black,15564793,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,2019,1,0FZ4Dmg8jJJAPJnvBIzD9z,0.861,0.603,0.504
20,Saturday Nights,Khalid,14560398,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8,2019,1,5kfNriitmkNE8mUbZ7gbq8,0.551,0.44,0.341
21,Eastside (with Halsey & Khalid),benny blanco,14028996,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,2019,1,0d2iYfpKoM0QCKvcLCkBao,0.56,0.68,0.319
22,Drip Too Hard (Lil Baby & Gunna),Lil Baby,13585875,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,2019,1,78QR3Wp35dqAhFEc2qAGjE,0.897,0.662,0.389
23,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,13523043,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA,2019,1,5JEx7HbmvHQQswJCsoo9rA,0.575,0.758,0.493
24,Look Back at It,A Boogie Wit da Hoodie,13473222,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8,2019,1,3Ol2xnObFdKV9pmRD2t9x8,0.791,0.587,0.536
25,Giant (with Rag'n'Bone Man),Calvin Harris,13432564,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd,2019,1,5itOtNx0WxtJmi1TQ3RuRd,0.807,0.887,0.606
