Position,Track Name,Artist,Streams,URL,Year,Month,yyyy-mm,Stream %,Track ID
64,Girls Like You (feat. Cardi B),Maroon 5,452258,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,2019,01,2019-01,0.004402689782191473,6V1bu6o1Yo5ZXnsCJU8Ovk
65,Baby,Amenazzy,449387,https://open.spotify.com/track/2IA8cFA46DkjgbsRG7kKbp,2019,01,2019-01,0.004374740862847488,6epn3r7S14KUqlReYr77hA
66,Celoso,Lele Pons,443025,https://open.spotify.com/track/33zcmmElV1YbRZe57biUjg,2019,01,2019-01,0.004312807381528634,33zcmmElV1YbRZe57biUjg
67,Fuerte,Lola Indigo,441832,https://open.spotify.com/track/5Y2vTZCC9f2yvELrT3InnP,2019,01,2019-01,0.004301193636917915,7A07Yu1dRND3RKDzbhKrDs
68,Con Una Mirada,Ana Guerra,433986,https://open.spotify.com/track/2OzpAqJOjhlhWcgncwpgmV,2019,01,2019-01,0.004224813552914815,2OzpAqJOjhlhWcgncwpgmV
69,Shallow,Lady Gaga,426563,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019,01,2019-01,0.004152551334771173,2VxeLyX666F8uXCJ0dZF8B
70,Déjala Que Baile (with Alejandro Sanz & Arkano),Melendi,426412,https://open.spotify.com/track/2KK9N6iBAisA0booTu3bGd,2019,01,2019-01,0.004151081363743328,2KK9N6iBAisA0booTu3bGd
71,Ya No Quiero Ná,Lola Indigo,425666,https://open.spotify.com/track/2A2Q4CYBcVvBF2OqgJ3OWX,2019,01,2019-01,0.004143819122771328,2wDgqCVpMwj8CDvlvLs90p
72,Él no soy yo,Blas Cantó,422026,https://open.spotify.com/track/38mCl4EuWhML4eaZPdNQ3a,2019,01,2019-01,0.004108384059583552,38mCl4EuWhML4eaZPdNQ3a
73,Nuclear,Leiva,421732,https://open.spotify.com/track/0TIr4u2NmwrsffZfUZYnxA,2019,01,2019-01,0.004105521996787617,1R4KCEwucJLsVk5L9o250Y
74,No Es Justo,J Balvin,417537,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7,2019,01,2019-01,0.004064684059954453,4ENLcCIsIe3WQBklJSBQxK
75,Muérdeme,María Escarmiento,417337,https://open.spotify.com/track/2ldgzuCsmEMhIt2qbEdlnT,2019,01,2019-01,0.0040627370784606185,0nouexs7ZTNHuhcvwD2A9w
76,Te Boté - Remix,Nio Garcia,410544,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i,2019,01,2019-01,0.003996607852022553,3V8UKqhEK5zBkBb6d6ub8i
77,Bohemian Rhapsody - Remastered 2011,Queen,407364,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J,2019,01,2019-01,0.0039656508462705955,7tFiyTwD0nx5a1eklYtX2J
78,Ya No Tiene Novio,Sebastian Yatra,394962,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu,2019,01,2019-01,0.0038449185238379605,1riyn0cmi87k1YsBn4Lfwk
79,La Romana,Bad Bunny,390542,https://open.spotify.com/track/1khmgu0pveJbkbpbkyvcQv,2019,01,2019-01,0.003801890232824233,1khmgu0pveJbkbpbkyvcQv
80,No Hay Nadie Más,Sebastian Yatra,384987,https://open.spotify.com/track/3IPJg1sdqLj12kFIndaonN,2019,01,2019-01,0.003747812821832999,3IPJg1sdqLj12kFIndaonN
