,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
139,"Mere Rashke Qamar (From ""Baadshaho"")","Nusrat Fateh Ali Khan",111592,https://open.spotify.com/track/50sbcAcWHgDPRDkYBEUpkA
140,"i'm so tired...",Lauv,111394,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
141,Kamariya,"Aastha Gill",110975,https://open.spotify.com/track/5cjVsWqIkBQC7acTRhL0RO
142,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",108877,https://open.spotify.com/track/4MsUsFfWseB9M2plGJyuIw
143,"Buzz (feat. Badshah)","Aastha Gill",108745,https://open.spotify.com/track/3XYvdqcZrTmRntFDDbJkJd
144,"Kaam 25 - Sacred Games",DIVINE,108211,https://open.spotify.com/track/6Kynli1iHBqJRWUCohcV9h
145,"Nira Ishq",Guri,107691,https://open.spotify.com/track/1gl8BBFdMRrgb3P7Jz5JQT
146,"Udd Gaye - Bacardi House Party Sessions",Ritviz,107169,https://open.spotify.com/track/6wZJsut8fjiWiMPaccRAOX
147,"Havana (feat. Young Thug)","Camila Cabello",107118,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
148,"Bom Diggy Diggy","Zack Knight",106857,https://open.spotify.com/track/6qCNaRRr5xJALfNJvh0NAw
149,"Dil Jaaniye (From ""Pehlwaan"")","Sanjith Hegde",105921,https://open.spotify.com/track/2T8H3x7xgSFQyN0V9BLTn7
150,"Jind Mahi","Diljit Dosanjh",104503,https://open.spotify.com/track/3SJVCbBFTxR6UvvTWRNbMp
151,"Parayuvaan - From ""Ishq""","Sid Sriram",104246,https://open.spotify.com/track/4hTcGYU6uXZVCAfIMsxhlC
152,"Who Do You Love","The Chainsmokers",104170,https://open.spotify.com/track/5QiNbIilmMiMBXvaAlf7lN
153,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)","benny blanco",103169,https://open.spotify.com/track/1WSGTYKLEpKfNQYYW5Oymt
154,"Halka Halka (From ""Fanney Khan"")","Sunidhi Chauhan",102928,https://open.spotify.com/track/44O26Gv1wQrlUj14PpTolM
155,"The Archer","Taylor Swift",102884,https://open.spotify.com/track/3Y7MHz19qCg1Pkxridtu1k
156,Sage,Ritviz,102372,https://open.spotify.com/track/64RkEV5b7bG697vhIPMlrl
157,"Here With Me",Marshmello,102251,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
158,Khaab,Akhil,101953,https://open.spotify.com/track/0a6zRnrjmaOcqsEIFkXIhw
159,"Kyun Rabba","Armaan Malik",101857,https://open.spotify.com/track/68QwG6Ni1jFQc5Fit2iXp0
160,"Illegal Weapon","Garry Sandhu",100354,https://open.spotify.com/track/3Oe3VdPn6rAueriQvFhCBA
161,"Para Para","Arun Dev Yadav",100253,https://open.spotify.com/track/0v4jBWzAxNCdae6I6uYFbi
162,Undipo,"Anurag Kulkarni",99925,https://open.spotify.com/track/78ezufT6ND0PcSctjWHS6N
163,"Sawarne Lage","Tanishk Bagchi",99532,https://open.spotify.com/track/7E4sdzJDrVMu8qcwyxz3vP
