,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
74,"Dreams - 2004 Remaster","Fleetwood Mac",62468,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
75,"Be Alright","Dean Lewis",62371,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
76,Vibes,SIX60,62276,https://open.spotify.com/track/5EKITWJXROxWdc0bcRrMLy
77,"wish you were gay","Billie Eilish",62251,https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD
78,"I Don't Belong In This Club","Why Don't We",62136,https://open.spotify.com/track/45ZGEdLxCZvdMX9jWlsAAx
79,"Way To Break My Heart (feat. Skrillex)","Ed Sheeran",61957,https://open.spotify.com/track/5d1rmWWF1725tnYjq6rMDB
80,"BLOW (with Chris Stapleton & Bruno Mars)","Ed Sheeran",61636,https://open.spotify.com/track/7hvO2qCwJVZxiyoA7c9i5d
81,"Bohemian Rhapsody - Remastered 2011",Queen,61454,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
82,Painkiller,Ruel,60541,https://open.spotify.com/track/1abFkY2jm6KDFMZ7RD9YJh
83,"Body (feat. brando)","Loud Luxury",60020,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
84,"Can You Feel the Love Tonight",Beyoncé,59985,https://open.spotify.com/track/1zSKtBze2IReYU44W0lDzd
85,"Find U Again (feat. Camila Cabello)","Mark Ronson",59226,https://open.spotify.com/track/5Uw7Dut2lZfexn3Y09swpf
86,Africa,TOTO,58967,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
87,"The Archer","Taylor Swift",58897,https://open.spotify.com/track/3Y7MHz19qCg1Pkxridtu1k
88,"Better Now","Post Malone",58245,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
89,"rockstar (feat. 21 Savage)","Post Malone",58245,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
90,"Homicide (feat. Eminem)",Logic,58205,https://open.spotify.com/track/7M2tXmeS15NAzEn7ABFeBg
91,"Good As Hell",Lizzo,58172,https://open.spotify.com/track/6uAm7pG66O1XesXS9bpHSF
92,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",57628,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
93,"I Fall Apart","Post Malone",57579,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
94,"i'm so tired...",Lauv,57563,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
95,Rodeo,"Lil Nas X",57024,https://open.spotify.com/track/4ak7xjvBeBOcJGWFDX9w5n
96,"SICKO MODE","Travis Scott",57009,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
97,"Tiny Dancer","Elton John",56611,https://open.spotify.com/track/2TVxnKdb3tqe1nhQWwwZCO
98,"Say You Won't Let Go","James Arthur",56396,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
99,2002,Anne-Marie,56225,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
100,"Shape of You","Ed Sheeran",55952,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
101,"Post Malone (feat. RANI)","Sam Feldt",55938,https://open.spotify.com/track/0qc4QlcCxVTGyShurEv1UU
102,"Time - Edit",NF,55791,https://open.spotify.com/track/68Vm2W4oURsPV3121vUZgB
103,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",55789,https://open.spotify.com/track/4MsUsFfWseB9M2plGJyuIw
104,"thank u, next","Ariana Grande",55480,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
105,Easy,DaniLeigh,55220,https://open.spotify.com/track/4CMrdHWqic0usIZfTrKoI3
106,"Sweet but Psycho","Ava Max",55014,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
107,"I Like Me Better",Lauv,54630,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
108,"Dance Monkey","Tones And I",54578,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
109,"I Don't Want Your Money (feat. H.E.R.)","Ed Sheeran",54501,https://open.spotify.com/track/3FHXUqaUer9o231Je1zxIN
110,"Always Remember Us This Way","Lady Gaga",54190,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
111,I.F.L.Y.,Bazzi,53961,https://open.spotify.com/track/4R9ATNRRl1uth17i5qDCc0
112,"Taste (feat. Offset)",Tyga,53613,https://open.spotify.com/track/2toVe5hfuIi97ytDPDbQFt
113,"Mr. Brightside","The Killers",52872,https://open.spotify.com/track/7oK9VyNzrYvRFo7nQEYkWN
114,"Evil Spider",BENEE,52810,https://open.spotify.com/track/3NqoZnyv3qLAM0y3CjB8l2
115,"Feels (feat. Young Thug & J Hus)","Ed Sheeran",52659,https://open.spotify.com/track/1Bdptrvb7nQkq8kCw3siE9
116,"Pure Water (with Migos)",Mustard,52556,https://open.spotify.com/track/3j84U36KvLeXNDPv4t5pI8
117,"SPIRIT - From Disney's ""The Lion King""",Beyoncé,52544,https://open.spotify.com/track/6ucmgsair6pvRYfwgvI6e0
118,"Don't Stop Believin'",Journey,52181,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
119,"Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)","Martin Garrix",52054,https://open.spotify.com/track/40OMBMYRk5IQL6xCzGM0JA
120,Glitter,BENEE,51775,https://open.spotify.com/track/23TPP1eeElFfvYVznskwCY
121,"1000 Nights (feat. Meek Mill & A Boogie Wit da Hoodie)","Ed Sheeran",51747,https://open.spotify.com/track/4vIKzWqtn44umal5jXq4wE
122,"Go Your Own Way - 2004 Remaster","Fleetwood Mac",51741,https://open.spotify.com/track/07GvNcU1WdyZJq3XxP0kZa
123,"Pop Out (feat. Lil Tjay)","Polo G",51721,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1
124,"On A Roll","Ashley O",51707,https://open.spotify.com/track/56JyMaElW79S7TDWh1Zw1m
125,"Lost In Japan","Shawn Mendes",50319,https://open.spotify.com/track/79esEXlqqmq0GPz0xQSZTV
126,"ocean eyes","Billie Eilish",50139,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
127,Perfect,"Ed Sheeran",50107,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
128,"Hotel California - 2013 Remaster",Eagles,49889,https://open.spotify.com/track/40riOy7x9W7GXjyGp4pjAv
129,"Don't Give Up On Me - (From ""Five Feet Apart"")","Andy Grammer",49816,https://open.spotify.com/track/4Y0TtDriFlN3XZoQx6PYsu
130,"Going Bad (feat. Drake)","Meek Mill",49793,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
131,"Who Do You Love","The Chainsmokers",49678,https://open.spotify.com/track/5QiNbIilmMiMBXvaAlf7lN
132,"break up with your girlfriend, i'm bored","Ariana Grande",49656,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
133,"Girls Like You (feat. Cardi B)","Maroon 5",49561,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
134,"Lucid Dreams","Juice WRLD",49210,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
135,"Jocelyn Flores",XXXTENTACION,48842,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
