Position,Track Name,Artist,Streams,URL,Year,Month,Track ID,Danceability,Energy,Valence,Stream %,Danceability_Stream%,Valence_Stream%,Energy_Stream%
83,"Tere Bin (From ""Simmba"")",Rahat Fateh Ali Khan,12920,https://open.spotify.com/track/4f5kLqyOJ5ZPnalEVMQrB2,2019,1,4f5kLqyOJ5ZPnalEVMQrB2,0.649,0.716,0.639,1.1928881045290545e-05,7.741843798393565e-06,7.622554987940658e-06,8.54107882842803e-06
84,Starboy,The Weeknd,12658,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB,2019,1,7MXVkk9YMctZqd1Srtv4MB,0.679,0.5870000000000001,0.486,1.168697958756097e-05,7.935459139953899e-06,5.679872079554631e-06,6.86025701789829e-06
85,Baila Baila Baila,Ozuna,12536,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG,2019,1,7mWFF4gPADjTQjC97CgFVt,0.785,0.5720000000000001,0.49,1.1574338450755594e-05,9.085855683843142e-06,5.671425840870241e-06,6.620521593832201e-06
86,Havana (feat. Young Thug),Camila Cabello,12433,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W,2019,1,1rfofaqEpACxVEHIZBJe6W,0.765,0.523,0.39399999999999996,1.1479239786075645e-05,8.781618436347869e-06,4.522820475713804e-06,6.003642408117563e-06
87,Photograph,Ed Sheeran,12361,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy,2019,1,1HNkqx9Ahdgi1Ixy2xkKkL,0.614,0.379,0.201,1.1412763049600343e-05,7.0074365124546105e-06,2.293965372969669e-06,4.32543719579853e-06
88,Calma - Remix,Pedro Capó,12347,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019,1,5iwz1NiezX7WWjnCgY5TH4,0.826,0.773,0.7609999999999999,1.1399837017507922e-05,9.416265376461543e-06,8.675275970323527e-06,8.812074014533624e-06
89,Scared to Be Lonely,Martin Garrix,12110,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH,2019,1,3ebXMykcMXOcLeJ9xZ17XH,0.584,0.54,0.195,1.1181017759943383e-05,6.529714371806935e-06,2.1802984631889596e-06,6.037749590369427e-06
90,Mere Wala Sardar,"Jagraj Sandhu, Dr. Shree",12107,https://open.spotify.com/track/4lSSJcfptqRAv9cTzpherg,2019,1,3hCLDKPwRELWLnYF3nOY5J,0.7240000000000001,0.47,0.385,1.1178247895923578e-05,8.093051476648672e-06,4.303625439930578e-06,5.253776511084081e-06
91,Teesri Manzil,DIVINE,12040,https://open.spotify.com/track/4oKcFaWmBSF3SGGYo4qq6R,2019,1,4oKcFaWmBSF3SGGYo4qq6R,0.6679999999999999,0.88,0.39899999999999997,1.1116387599481282e-05,7.425746916453496e-06,4.435438652193031e-06,9.782421087543529e-06
92,Barso,Ritviz,11895,https://open.spotify.com/track/2mv5anj69awqE6R936e0hZ,2019,1,32DWojMZeZebVrfBkhAkKy,0.879,0.48700000000000004,0.33799999999999997,1.0982510838524074e-05,9.653627027062661e-06,3.7120886634211364e-06,5.3484827783612245e-06
93,IDOL,BTS,11870,https://open.spotify.com/track/2AIWoHr9DF6y4KALCBKWQS,2019,1,2AIWoHr9DF6y4KALCBKWQS,0.7340000000000001,0.855,0.42200000000000004,1.0959428638359037e-05,8.044220620555534e-06,4.624878885387514e-06,9.370311485796977e-06
94,Kaam 25 - Sacred Games,DIVINE,11869,https://open.spotify.com/track/6Kynli1iHBqJRWUCohcV9h,2019,1,6Kynli1iHBqJRWUCohcV9h,0.484,0.948,0.6859999999999999,1.0958505350352436e-05,5.303916589570579e-06,7.51753467034177e-06,1.038866307213411e-05
95,"Chogada (From ""Loveyatri"")",Darshan Raval,11860,https://open.spotify.com/track/4ymPEyiXabTe1NO8q8EFxG,2019,1,4ymPEyiXabTe1NO8q8EFxG,0.359,0.972,0.595,1.0950195758293024e-05,3.9311202772271955e-06,6.515366476184349e-06,1.064359027706082e-05
