Position,Track Name,Artist,Streams,URL,Year,Month,yyyy-mm,Stream %,Track ID,Danceability,Valence,Energy,Tempo,Danceability_Stream%,Valence_Stream%,Energy_Stream%,Tempo_Stream%
91,Te echo de menos,Beret,365556,https://open.spotify.com/track/3gPOFPYLgpvQz0ZMwmv7NE,2019,1,2019-01,0.0035586538347995742,3gPOFPYLgpvQz0ZMwmv7NE,0.658,0.362,0.714,159.9,0.00234159422329812,0.001288232688197446,0.002540878838046896,0.5690287481844519
92,Me Niego (feat. Ozuna & Wisin),Reik,363331,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T,2019,1,2019-01,0.0035369936656806725,4ggiDYAkJ7Yk8d5xOr7Xjo,0.777,0.773,0.782,94.023,0.0027482440782338824,0.00273409610357116,0.002765929046562286,0.33255875542829383
93,No Me Acuerdo,Thalia,356527,https://open.spotify.com/track/1G586ld1gbaECg4Bc6w40O,2019,1,2019-01,0.0034707573552604466,1G586ld1gbaECg4Bc6w40O,0.837,0.748,0.784,94.036,0.0029050239063529936,0.002596126501734814,0.00272107376652419,0.32637613865927134
94,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,355765,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF,2019,1,2019-01,0.0034633393557689397,27rdGxbavYJeBphck5MZAF,0.601,0.244,0.794,114.066,0.0020814669528171326,0.0008450548028076213,0.0027498914484805383,0.39504926695513987
95,Dancing With A Stranger (with Normani),Sam Smith,354287,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,2019,1,2019-01,0.0034489511625295077,6Qs4SXO9dwPj5GKvVOv8Ki,0.741,0.347,0.52,102.998,0.002555672811434365,0.0011967860533977392,0.0017934546045153441,0.35523507183821423
96,Sin Culpa (feat. DrefQuila),Duki,354121,https://open.spotify.com/track/3dLiBBKbeUIhzGNeuo5JGS,2019,1,2019-01,0.003447335167889626,03PZ9C7f90TLbDk3dYjBd2,0.641,0.405,0.653,175.009,0.00220974184261725,0.0013961707429952987,0.002251109864631926,0.6033146803971955
97,No Te Enamores,Paloma Mami,351447,https://open.spotify.com/track/0EJu1RBtxzldMG2peczuPv,2019,1,2019-01,0.0034213040253170675,2mM3gZ0BbPwPPMelbA8vgt,0.824,0.58,0.837,100.021,0.0028191545168612634,0.001984356334683899,0.0028636314691903855,0.34220224991623843
98,Sola,Manuel Turizo,349415,https://open.spotify.com/track/675w3ACw5xZR3ODhUJlEVN,2019,1,2019-01,0.003401522693339716,0Jr4zQh5i3vrKFEcXrhhxl,0.671,0.331,0.775,148.195,0.0022824217272309497,0.0011259040114954461,0.00263618008733828,0.5040886555394792
99,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofía Reyes,345182,https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b,2019,1,2019-01,0.0033603148300227234,4QtiVmuA88tPQiCOHZuQ5b,0.792,0.794,0.895,94.968,0.002661369345377997,0.0026680899750380427,0.0030074817728703374,0.319122378777598
100,La Cintura,Alvaro Soler,343615,https://open.spotify.com/track/1BFmBgVOnLy3Ekrxz1lBOK,2019,1,2019-01,0.0033450602300185354,6VUJQqyeQhAZHkQbSDqLtI,0.706,0.762,0.844,100.005,0.0023616125223930857,0.002548935895274124,0.0028232308341356437,0.3345227483030036
101,Te esperaré toda la vida,Dani Fernández,340948,https://open.spotify.com/track/6MCPhEshiLRXgdFKqvr478,2019,1,2019-01,0.003319097231798261,6MCPhEshiLRXgdFKqvr478,0.75,0.85,0.63,128.028,0.002489322923848696,0.002821232647028522,0.0020910312560329047,0.42493738039266776
102,Bien Duro,C. Tangana,338608,https://open.spotify.com/track/3joo84oco9CD4dBsKNWRRW,2019,1,2019-01,0.0032963175483204056,3joo84oco9CD4dBsKNWRRW,0.845,0.69,0.67,101.028,0.0027853883283307426,0.0022744591083410795,0.0022085327573746717,0.33302036927171397
103,PIENSO EN TU MIRÁ - Cap.3: Celos,ROSALÍA,338082,https://open.spotify.com/track/5r8mGKhCDIVWb3AG4hm0l0,2019,1,2019-01,0.003291196986991623,5r8mGKhCDIVWb3AG4hm0l0,0.647,0.41,0.676,164.51,0.00212940445058358,0.0013493907646665653,0.0022248491632063374,0.5414348163299919
104,Un Veneno,C. Tangana,337635,https://open.spotify.com/track/42C5Bbb4dHwS5OFMvtGkG2,2019,1,2019-01,0.0032868454833529038,4wNxcizGKSTfKm1emmO4yk,0.521,0.58,0.45,81.376,0.001712446496826863,0.001906370380344684,0.0014790804675088066,0.26747033805332593
105,Callao,Wisin & Yandel,334777,https://open.spotify.com/track/3gu0fRSgFuc4FmrtIv0DnC,2019,1,2019-01,0.003259023117806019,3gu0fRSgFuc4FmrtIv0DnC,0.73,0.879,0.836,92.043,0.002379086875998394,0.0028646813205514907,0.0027245433264858317,0.29997026483221945
