Position,Track Name,Artist,Streams,URL,Year,Month,yyyy-mm,Stream %,Track ID
123,Hawayein,Pritam,136898,https://open.spotify.com/track/0l6g8Z8mqGbGXFOjigYetD,2019,09,2019-09,0.003527794803551915,0l6g8Z8mqGbGXFOjigYetD
125,Kaam 25 - Sacred Games,DIVINE,135454,https://open.spotify.com/track/6Kynli1iHBqJRWUCohcV9h,2019,09,2019-09,0.003490583626644079,6Kynli1iHBqJRWUCohcV9h
126,SAD!,XXXTENTACION,132581,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,2019,09,2019-09,0.003416547815524817,3ee8Jmje8o58CHK66QrVC2
127,Enna Sona,A.R. Rahman,130853,https://open.spotify.com/track/6bdpj89aYEBjhpsenXAsmO,2019,09,2019-09,0.0033720180968982655,6bdpj89aYEBjhpsenXAsmO
128,Teri Mitti,Arko,130752,https://open.spotify.com/track/75hrPAosuDiO9F3DKwVP12,2019,09,2019-09,0.0033694153760757645,3PAC15iDIHk7IWD8ShSgWh
129,Ransom,Lil Tecca,130075,https://open.spotify.com/track/6EOKwHETwSkZ9gW2b6ASE0,2019,09,2019-09,0.0033519694157110795,1lOe9qE0vR9zwWQAOk6CoO
130,"Morni Banke (From ""Badhaai Ho"")",Guru Randhawa,129636,https://open.spotify.com/track/5x3K3Ld54TtkYKdQvrFOV3,2019,09,2019-09,0.003340656599462783,2Wu9PNpLUCBl3W1GaPqkhl
131,8 Parche,Baani Sandhu,128947,https://open.spotify.com/track/42ETKyApzUl8hTtytFAjen,2019,09,2019-09,0.0033229014049409693,42ETKyApzUl8hTtytFAjen
132,Die For Me (feat. Future & Halsey),Post Malone,128872,https://open.spotify.com/track/2C6WXnmZ66tHhHlnvwePiK,2019,09,2019-09,0.003320968691458914,2C6WXnmZ66tHhHlnvwePiK
133,Ae Dil Hai Mushkil Title Track,Pritam,128808,https://open.spotify.com/track/1UWacd8x8tPPwmrPB1MoBI,2019,09,2019-09,0.0033193194426208933,1UWacd8x8tPPwmrPB1MoBI
134,Eastside (with Halsey & Khalid),benny blanco,128219,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,2019,09,2019-09,0.0033041411994084867,0d2iYfpKoM0QCKvcLCkBao
135,Woh Baarishein,Arjun Kanungo,127235,https://open.spotify.com/track/3RFNUexrtXExkzTEiJ0eBh,2019,09,2019-09,0.0032787839985239224,3RFNUexrtXExkzTEiJ0eBh
136,Sawarne Lage,Tanishk Bagchi,126103,https://open.spotify.com/track/7E4sdzJDrVMu8qcwyxz3vP,2019,09,2019-09,0.0032496129097014355,7E4sdzJDrVMu8qcwyxz3vP
137,Ki Honda Pyaar (Arijit Singh Version),Arijit Singh,125810,https://open.spotify.com/track/5A8VGIbYimFP6u8WBPRg4S,2019,09,2019-09,0.0032420624423648734,5A8VGIbYimFP6u8WBPRg4S
138,Slowly Slowly,Guru Randhawa,125790,https://open.spotify.com/track/4pBxb7WuLsC3YyA9cj4T2l,2019,09,2019-09,0.003241547052102992,4pBxb7WuLsC3YyA9cj4T2l
139,O Saathi,Atif Aslam,125302,https://open.spotify.com/track/6fScgF2Y63ScU73nYju0ny,2019,09,2019-09,0.003228971529713086,6fScgF2Y63ScU73nYju0ny
