,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
73,"Enchochado de Ti","Don Patricio",485215,https://open.spotify.com/track/6G8TNOdTBpBPmDdJAvoVhA
74,"Me Quedo",Aitana,478107,https://open.spotify.com/track/6Nqi1fWKYXrVXmF3RtQbSf
75,"Tal Vez","Paulo Londra",475227,https://open.spotify.com/track/5jW3rF4URMdK7tO2xjS5EI
76,Swing,"Danny Ocean",469134,https://open.spotify.com/track/4DbhxwlkhTbCTqlZptxmI6
77,"Mi Morena",Juanfran,462786,https://open.spotify.com/track/6MF2uU7HoQkA1Da2jscqV2
78,Runaway,"Sebastian Yatra",461438,https://open.spotify.com/track/7BuSE9uTIw931wtZYzvZcQ
79,HP,Maluma,450975,https://open.spotify.com/track/1LIqNVhaIgxXUt2eVoIQJ3
80,"Me llama",Beret,450805,https://open.spotify.com/track/7piXNyrajEfqhOkzgDq2Ts
81,"5 Sentidos",Dvicio,449203,https://open.spotify.com/track/7chjOPhoxbpRYSrO1rvdnu
82,"Someone You Loved","Lewis Capaldi",445521,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
83,"Mírame - Remix","Nio Garcia",439926,https://open.spotify.com/track/53uKGbcMjEc2gIWbfmvpdS
84,"Kemba Walker","Eladio Carrion",437813,https://open.spotify.com/track/38kLHBjtWJaPXcyFhwRVtI
85,"Otro Trago",Sech,434504,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr
86,Ibiza,"Juancho Marqués",431050,https://open.spotify.com/track/6gXouM2JAel7NDpDC0J5U6
87,"Hola Señorita",GIMS,428201,https://open.spotify.com/track/5vLEmh5EolySKTvXsyWSOg
88,"Dance Monkey","Tones And I",414803,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
89,"105 F Remix",KEVVO,406010,https://open.spotify.com/track/1aUGxXCz9QimNkKeiJtzZ7
90,"¿CÓMO TE VA, QUERIDA?","Rels B",402264,https://open.spotify.com/track/1uiX0bdc2sPHcL1k02bC2G
91,"Soldi (feat. Maikel Delacalle)",Mahmood,397092,https://open.spotify.com/track/1GVBnZF3tHJiWzdCSgg75Z
92,"Date La Vuelta","Luis Fonsi",395717,https://open.spotify.com/track/5lwVd35Zg6DJ4qibVMq99H
93,Disparos,"Dani Fernández",395607,https://open.spotify.com/track/2F75mXaavRl0hm3rtM15cq
94,"Pa Mí - Remix",Dalex,393807,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz
95,Celébrate,"Miki Núñez",392223,https://open.spotify.com/track/60TClTKDePeUjKyfotkLEg
96,Bellaquita,Dalex,388677,https://open.spotify.com/track/1tpbAGsGpZee5jDHMcLrUJ
97,"La Playa","Myke Towers",387251,https://open.spotify.com/track/0jeS8PyyIRAG0A3t5DtL71
98,"Contra La Pared","Sean Paul",385571,https://open.spotify.com/track/37eGbhE1xVFSvcKkqGb6i1
99,"Trueno: Bzrp Freestyle Sessions, Vol. 6",Bizarrap,379551,https://open.spotify.com/track/1DckcUSLpCfYsD1htu4JnF
100,"Beautiful People (feat. Khalid)","Ed Sheeran",378825,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
101,"Un Año","Sebastian Yatra",376132,https://open.spotify.com/track/2vrpcQNg6itmgVZWsNjWe0
102,Boomerang,Sech,375730,https://open.spotify.com/track/6E8uqptcabNz9ym19FkDye
103,"Nicki Nicole: Bzrp Music Sessions, Vol. 13",Bizarrap,374424,https://open.spotify.com/track/2S93hylQBYLndMnaJuso8S
104,"La Boca - Remix","Mau y Ricky",367128,https://open.spotify.com/track/2EEmzqzM70CybVspgM7YRT
105,"Si Supieras","Daddy Yankee",366971,https://open.spotify.com/track/7MRU4vOkywuhZ9kbFiPuiu
106,"nana triste","Natalia Lacunza",365519,https://open.spotify.com/track/721Lxh9pNJJhNERON4Zjmw
107,"Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey)","Ariana Grande",359550,https://open.spotify.com/track/3NkJNL3WqO1Lqc3uNDxvCN
108,MOJAITA,"J Balvin",358273,https://open.spotify.com/track/71pEiUWwfDFiRO6RmFpnBf
109,"No Te Preocupes por Mi",Leiva,353735,https://open.spotify.com/track/7hv7synVPhVu30Ex2amJQc
110,"Adan y Eva","Paulo Londra",353652,https://open.spotify.com/track/132ALUzVLmqYB4UsBj5qD6
111,"Con La Miel En Los Labios",Aitana,351102,https://open.spotify.com/track/2QJcrJNa4KGxQ6bw0MH3Zx
112,Aleluya,Reik,348244,https://open.spotify.com/track/23CsjGOYDQiJpX44BSn9TM
113,"Old Town Road - Remix","Lil Nas X",347432,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
114,"Que Mas Pues - Remix",Sech,342691,https://open.spotify.com/track/7fODjB7BrQTGqh0hogW6XD
115,"MALAMENTE - Cap.1: Augurio",ROSALÍA,340578,https://open.spotify.com/track/1B0BQaSRHxhI0AUlItY3LK
116,Bonita,Juanes,338274,https://open.spotify.com/track/0gcOnIUKIG6JF56iFUfE0p
117,"Si Se Da","Myke Towers",337598,https://open.spotify.com/track/5KbBGUpIZd6gVFUU8tqYiQ
118,"Te echo de menos",Beret,333934,https://open.spotify.com/track/3gPOFPYLgpvQz0ZMwmv7NE
119,"Aute Cuture",ROSALÍA,333020,https://open.spotify.com/track/7dQFpbs34ufIEU745DVclf
120,"Mi Persona Favorita","Alejandro Sanz",332555,https://open.spotify.com/track/1O4dGIPUXUanseRdv4fNzw
