,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
132,"Thodi Jagah (From ""Marjaavaan"")","Arijit Singh",169443,https://open.spotify.com/track/3f0wz6zcA7XkQiGm0qNF5r
133,"Kun Faya Kun","A.R. Rahman",168993,https://open.spotify.com/track/7F8RNvTQlvbeBLeenycvN6
134,Sweetheart,"Dev Negi",168508,https://open.spotify.com/track/6qrb4ganbSTzcDDOo1pzMT
135,"Let Me Love You","DJ Snake",167913,https://open.spotify.com/track/0lYBSQXN6rCTvUZvg9S0lU
136,Happier,Marshmello,167097,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
137,"Girls Like You (feat. Cardi B)","Maroon 5",166845,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
138,"Dus Bahane 2.0 (From ""Baaghi 3"") (feat. K.K., Shaan, Tulsi Kumar)","Vishal Dadlani",165560,https://open.spotify.com/track/0z9lOAVgQT5bysEKZ6Wwbk
139,Filhall,"B Praak",164378,https://open.spotify.com/track/6E7P1uT2afeor2t6wR2y2r
140,Loca,"Yo Yo Honey Singh",163798,https://open.spotify.com/track/10Hks1iBOnKIIhouOI4rrk
141,"Beautiful People (feat. Khalid)","Ed Sheeran",162432,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
142,"Hui Malang (From ""Malang - Unleash The Madness"")","Asees Kaur",162089,https://open.spotify.com/track/5bAed2aRbQbjDZF9qkNSA2
143,"Naina Da Kya Kasoor","Amit Trivedi",162083,https://open.spotify.com/track/4JQxGJ8jsKW8pOUVoAgOZr
144,"Phir Kabhi (From ""M.S.Dhoni - The Untold Story"")","Arijit Singh",161352,https://open.spotify.com/track/4lRmVC6kOYKhvq7BQEhjOG
145,"Bad Liar","Imagine Dragons",161327,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
146,"Skechers (feat. Badshah)",DripReport,161000,https://open.spotify.com/track/3sVNaAyatq9t7NwA675NPw
147,Attention,"Charlie Puth",160922,https://open.spotify.com/track/5cF0dROlMOK5uNZtivgu50
148,"Khairiyat (Bonus Track)",Pritam,160518,https://open.spotify.com/track/3oM90C4SZLYzVZJEZD5EQk
149,"It's You","Ali Gatie",159780,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
150,"Love Me Like You Do - From ""Fifty Shades Of Grey""","Ellie Goulding",158856,https://open.spotify.com/track/3zHq9ouUJQFQRf3cm1rRLu
151,"Masakali 2.0","Tulsi Kumar",158718,https://open.spotify.com/track/0LtuveFgRP4lkksywmCtxV
152,"Tum Se Hi",Pritam,158454,https://open.spotify.com/track/7eQl3Yqv35ioqUfveKHitE
153,"Hauli Hauli (From ""De De Pyaar De"")","Garry Sandhu",158051,https://open.spotify.com/track/4XyKoSEWrkQjI4AekJYWNx
154,"Humdard (From ""Ek Villain"")","Arijit Singh",157343,https://open.spotify.com/track/5jQm7HoRNb2wGI0Hldd4PK
155,"Shape of You","Ed Sheeran",156605,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
156,"Lose Somebody",Kygo,155917,https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza
157,"If the World Was Ending - feat. Julia Michaels","JP Saxe",154520,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
158,"Humnava Mere (From ""Humnava Mere"")","Jubin Nautiyal",153689,https://open.spotify.com/track/2QRc8jYol5Xsxyf6nYoYXW
159,"Chalo Chalein",Ritviz,153023,https://open.spotify.com/track/0NS3ca87AFGTQ2jHWeaLJ1
160,Samjhawan,"Jawad Ahmad",152015,https://open.spotify.com/track/0rk2X5TAhraBC5aCIXK2Rq
