Year,Month,Danceability %,Energy %,Valence %,Country
2019,5,0.6740306200720427,0.7086685338713791,0.6421492335142188,Brazil
2019,6,0.6770292257884308,0.7066321496496742,0.6334081502443917,Brazil
2019,7,0.6767630689995499,0.7005582409067048,0.6373211384209486,Brazil
2019,8,0.6784623209785088,0.7047921329455122,0.6539781467833671,Brazil
2019,9,0.6828857355623688,0.7085276929173075,0.6540813867720278,Brazil
2019,10,0.6821933062391808,0.6997371911075234,0.6621806264072694,Brazil
2019,11,0.685502390762462,0.7080831603721556,0.6647003540349747,Brazil
2019,12,0.6754273243445558,0.7319135273858943,0.6660803883555793,Brazil
2020,1,0.6860836964386976,0.7212862719733452,0.6592966616929484,Brazil
2020,2,0.6935531804930851,0.7360723084955544,0.6683129734687292,Brazil
2020,3,0.6790893840693851,0.720322376275734,0.6406723398122172,Brazil
2020,4,0.6815644448865285,0.7071803645095857,0.6309404299416076,Brazil
2020,5,0.6730225074879901,0.7047701753148429,0.6202580570360278,Brazil
2020,6,0.6690445524810439,0.7039347115498483,0.6275149760472175,Brazil
2020,7,0.6694091098226772,0.6956534617853959,0.629403715108283,Brazil
2020,8,0.6784543503062536,0.7099465575778918,0.6463439240170925,Brazil
2020,9,0.6872405612596966,0.7233203704611562,0.6484761059252947,Brazil
2020,10,0.6781326707606075,0.7259769748634437,0.6594900661855059,Brazil
2020,11,0.6776619224547292,0.710624355132869,0.666753568527712,Brazil
2020,12,0.6737583172288913,0.7325002692461399,0.7037539920952448,Brazil
2019,1,0.7318873282654197,0.6608868240846479,0.6044545975545487,Mexico
2019,2,0.7385113135075853,0.6652258651012317,0.6049885506615148,Mexico
2019,3,0.7329115777833248,0.6663396770045791,0.6206493749871183,Mexico
2019,4,0.730240366112503,0.6604041281229714,0.6303478665426508,Mexico
2019,5,0.7321806408685104,0.6516525344617704,0.6520088664274056,Mexico
2019,6,0.7237484180195232,0.6465029517297629,0.6343333747723746,Mexico
2019,7,0.7200293297445362,0.651015794754306,0.6394256760500481,Mexico
2019,8,0.7250846870140919,0.6620978097258794,0.6514793115527936,Mexico
2019,9,0.7263131534103149,0.6601558843837738,0.6524084009277348,Mexico
2019,10,0.718982930850008,0.6557814464698564,0.6532225429687435,Mexico
2019,11,0.7270171462625324,0.654918712774577,0.6482629398454831,Mexico
2019,12,0.7246894069836286,0.6502161551053237,0.6541606289642055,Mexico
2020,1,0.7300184876361512,0.6488472779296809,0.6385357252617722,Mexico
2020,2,0.7289479729516103,0.6453214081338199,0.6138503312795971,Mexico
2020,3,0.7236670624704624,0.6679372612554616,0.6207312884305487,Mexico
2020,4,0.7289215242557585,0.6603046884148253,0.6369317858430115,Mexico
2020,5,0.7276269566633685,0.6604844028901463,0.6345116524419006,Mexico
2020,6,0.7274436310476372,0.661283806770301,0.6498759574093417,Mexico
2020,7,0.6870775683423656,0.5960836837021277,0.4981346852235202,Mexico
2020,8,0.7047067620858857,0.6257291556903296,0.5145649344847035,Mexico
2020,9,0.7098195953093768,0.6330409843084231,0.5290296788631574,Mexico
2020,10,0.69913025901757,0.6371217658548486,0.5323776824715678,Mexico
2020,11,0.6938468222153843,0.6168376791836105,0.5458024822399407,Mexico
2020,12,0.6800665919212465,0.6062416117040045,0.5667715045174521,Mexico
2019,1,0.7167376875808814,0.4788555974460839,0.6146943853084708,Global
2019,2,0.7069715553719013,0.4594908330447213,0.6158854810237693,Global
2019,3,0.711163882630363,0.4865627093176105,0.6189294640579499,Global
2019,4,0.7102260936757354,0.5015542647949607,0.6058679324585277,Global
2019,5,0.6901922581473124,0.5148079360812282,0.6245362974553148,Global
2019,6,0.7163630052590797,0.5242173650987388,0.6242046457992994,Global
2019,7,0.7058094508806434,0.5222773240342011,0.6293684435469041,Global
2019,8,0.7016525473941948,0.5200117133322957,0.6196578327399043,Global
2019,9,0.6976538300048507,0.5025102904748269,0.6250829625328297,Global
2019,10,0.6965779906423091,0.5077717820607452,0.6153651998354795,Global
2019,11,0.6910342489721949,0.5070681943257656,0.6022240670404111,Global
2019,12,0.6400710395950269,0.5588496367543527,0.5712892413514759,Global
2020,1,0.716109468301263,0.5070550489697685,0.5931406222165547,Global
2020,2,0.7067068144133725,0.4980692225182638,0.5975701855172783,Global
2020,3,0.6978260671718345,0.5092760465579655,0.613468767533689,Global
2020,4,0.7206090108437103,0.5312450428310909,0.6159180473129322,Global
2020,5,0.7178758208982896,0.522152494909971,0.6262960965769154,Global
2020,6,0.7143445766421109,0.5385371126453393,0.627664131680567,Global
2020,7,0.7173544608035726,0.5230726742821783,0.6249091221483276,Global
2020,8,0.7047067620858857,0.5145649344847035,0.6257291556903296,Global
2020,9,0.7103844501213624,0.5289979778277909,0.6324703656718254,Global
2020,10,0.69913025901757,0.5323776824715678,0.6371217658548486,Global
2020,11,0.6938468222153843,0.5458024822399407,0.6168376791836105,Global
2020,12,0.6422548712834426,0.5819277250468713,0.5798045575280949,Global
2019,1,0.6834713430989541,0.6377990425820618,0.4737059197397237,India
2019,2,0.6834713430989541,0.6377990425820618,0.4737059197397237,India
2019,3,0.6663129444667184,0.6287028472921279,0.4838040492082661,India
2019,4,0.6589446742073329,0.6333486641636293,0.4862012764579913,India
2019,5,0.6544814893082288,0.6416014919432117,0.508600266907663,India
2019,6,0.6344241788627826,0.6099232398947835,0.4959634666549575,India
2019,7,0.6383180551977895,0.6587131469270142,0.5135778093194844,India
2019,8,0.6340883822444825,0.6595273880062469,0.510781201224541,India
2019,9,0.6354053140871668,0.6472556019878389,0.4990797410592942,India
2019,10,0.6478917207219029,0.653716184825992,0.5105905100686153,India
2019,11,0.6350994592464474,0.6327254114771742,0.4953790785823594,India
2019,12,0.6485298886166629,0.6425778220671425,0.5089699191178497,India
2020,1,0.6589184481924774,0.6536240899842091,0.5144083307129055,India
2020,2,0.6477355717831531,0.6349601508723323,0.4971049079256505,India
2020,3,0.6534923587978521,0.6193825433010507,0.5010359744376087,India
2020,4,0.6710482713811678,0.6172027653013324,0.5131945985480701,India
2020,5,0.6517114747426423,0.6124279570707261,0.498910380958794,India
2020,6,0.6372448252392773,0.6025476673794002,0.4926670883590169,India
2020,7,0.6210003629588035,0.5653993492067272,0.4705374454977667,India
2020,8,0.6409026838093855,0.5941892012238762,0.4948022089687508,India
2020,9,0.6429072288863196,0.6015262633902935,0.4937235532539099,India
2020,10,0.6494662492785849,0.6094431196915727,0.4970223374792904,India
2020,11,0.6574804147703837,0.6142513660371518,0.5091654160627601,India
2020,12,0.6563090074574355,0.6195283359037506,0.522940837593063,India
2019,1,0.6867348197879303,0.4859237200978312,0.6531362533143993,Germany
2019,2,0.6885880379483516,0.4825262640937421,0.6382412932461412,Germany
2019,3,0.6954288259172551,0.5176641276583015,0.6423486386627769,Germany
2019,4,0.693883623770731,0.5328612797486668,0.6458448396456002,Germany
2019,5,0.6698194850360345,0.5004562308087429,0.6469768831442182,Germany
2019,6,0.7052049693397737,0.5405649662484999,0.6605782329374882,Germany
2019,7,0.682582945991751,0.5049247230260796,0.6328280231808722,Germany
2019,8,0.6910067463862807,0.5108627896425083,0.6293893724618914,Germany
2019,9,0.6786345708495783,0.4666835958272224,0.5933226582295131,Germany
2019,10,0.6873700966933802,0.4939479827285062,0.6212273586381991,Germany
2019,11,0.6779858609079423,0.4976325535076903,0.6192497929189289,Germany
2019,12,0.6160693347472159,0.5356381309513206,0.5716144481264069,Germany
2020,1,0.694381515439479,0.5074726262565636,0.6116245500496904,Germany
2020,2,0.6793387646596424,0.4770396397315054,0.6203588480768828,Germany
2020,3,0.6789753039008494,0.4778464141928603,0.6198658961841856,Germany
2020,4,0.7029185210614016,0.5056813383010184,0.6291897104965949,Germany
2020,5,0.7008208352369817,0.5070490140163264,0.6284983550312955,Germany
2020,6,0.7084727278882301,0.5140800768618322,0.6392986859999541,Germany
2020,7,0.7108938428409058,0.5077357634041056,0.6373372608831398,Germany
2020,8,0.7149678325388589,0.5239591754654258,0.6334564782633743,Germany
2020,9,0.7115524245043539,0.5032125410157138,0.6460396018081466,Germany
2020,10,0.703265121304883,0.4944600662207125,0.6501428476371062,Germany
2020,11,0.6812425093045883,0.5166581945360388,0.6239076460106024,Germany
2020,12,0.6005075691382444,0.5650459409827533,0.5749748064438039,Germany
2019,1,0.6798900561728641,0.6223213490575273,0.4406159265275971,United Kingdom
2019,2,0.6785293797338142,0.6261226727670723,0.4368075094612688,United Kingdom
2019,3,0.680442428454836,0.6268495396270656,0.4689914333134014,United Kingdom
2019,4,0.6837430127875961,0.6157784532444596,0.4824260269690407,United Kingdom
2019,5,0.6750599714994189,0.6160741058359369,0.4893015839851861,United Kingdom
2019,6,0.6913854036997231,0.6314323250525027,0.5017316649826339,United Kingdom
2019,7,0.6919651645825111,0.6425097645801449,0.5246569458088859,United Kingdom
2019,8,0.6870796233474581,0.6317043445488507,0.5197795062899707,United Kingdom
2019,9,0.6912079909528849,0.6448659683094086,0.5212829121710132,United Kingdom
2019,10,0.680101502978995,0.6312331486248878,0.4978770022386728,United Kingdom
2019,11,0.6693784044006764,0.6028112066856366,0.493422360861299,United Kingdom
2019,12,0.5779304327703859,0.5508850593738881,0.5523047513660376,United Kingdom
2020,1,0.6967176324720216,0.6119815074081744,0.4728953515626919,United Kingdom
2020,2,0.6829340824527604,0.5911878481686864,0.4751032889374646,United Kingdom
