Position,Track Name,Artist,Streams,URL,Year,Month,yyyy-mm,Stream %,Track ID,Danceability,Valence,Energy,Tempo,Danceability_Stream%,Valence_Stream%,Energy_Stream%,Tempo_Stream%
16,Holding out for You (feat. Zara Larsson),Fedez,1107926,https://open.spotify.com/track/6eiVP1Q0XaevZEZnQFpYEH,2019,1,2019-01,0.010337910260497657,6eiVP1Q0XaevZEZnQFpYEH,0.697,0.769,0.707,109.949,0.0072055234515668665,0.0079498529903227,0.007308902554171843,1.136642895231457
17,Senza Di Me (feat. Venerus & Franco126),Gemitaiz,1063149,https://open.spotify.com/track/3xGD5KhnizETt7KQwxtUAc,2019,1,2019-01,0.009920102024447321,3xGD5KhnizETt7KQwxtUAc,0.698,0.313,0.636,107.282,0.00692423121306423,0.0031049919336520113,0.006309184887548496,1.0642483853867575
18,Stanza Singola (feat. Tommaso Paradiso),Franco126,1049581,https://open.spotify.com/track/23hpOtox5sIuRqVBVVJxsO,2019,1,2019-01,0.00979350081966069,23hpOtox5sIuRqVBVVJxsO,0.676,0.543,0.47,129.916,0.006620406554090627,0.005317870945075755,0.004602945385240524,1.272332452487038
19,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,1039005,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019,1,2019-01,0.009694817569231488,4w8niZpiMy6qz1mntFA5uM,0.842,0.617,0.801,95.881,0.008163036393292912,0.005981702440215828,0.007765548872954422,0.9295488033554843
20,Kim & Kanye (feat. Emis Killa),Fedez,1033491,https://open.spotify.com/track/4c8B6JJys3lq1EfNk5RjSX,2019,1,2019-01,0.009643367168052723,4c8B6JJys3lq1EfNk5RjSX,0.74,0.91,0.858,94.828,0.0071360917043590145,0.008775464122927979,0.008274009030189235,0.9144612218121037
21,MIA (feat. Drake),Bad Bunny,1032517,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019,1,2019-01,0.009634278903499202,116H0KvKr2Zl4RPuVBruDO,0.817,0.158,0.539,97.062,0.007871205864158848,0.001522216066752874,0.00519287632898607,0.9351223789314396
22,La fine del mondo,Anastasio,1018362,https://open.spotify.com/track/3FhWEh7VTAOYK4edZqNWNB,2019,1,2019-01,0.009502200479726004,3c5ZPBOMDO1HLHRrQEwpNW,0.83,0.406,0.667,114.989,0.007886826398172583,0.003857893394768758,0.006337967719977245,1.0926485309632135
23,oh 9od,tha Supreme,993251,https://open.spotify.com/track/0UuqwLM3UFmwcXSJgfFHvr,2019,1,2019-01,0.009267893076026336,5Qy9jtZdxUnFXmgPp3u5VZ,0.761,0.737,0.714,143.016,0.0070528666308560415,0.006830437197031409,0.006617275656282803,1.3254569961609823
24,Magico,Izi,973722,https://open.spotify.com/track/5fQUYwhKS3UIxTJvSoQ2Qz,2019,1,2019-01,0.009085670572468105,3IClzVlXeYXnYQMKZXqB4M,0.832,0.95,0.83,132.851,0.007559277916293463,0.0086313870438447,0.007541106575148527,1.2070404212229602
25,Fuoco e benzina,Emis Killa,963419,https://open.spotify.com/track/4Fs1sEg9Mwn6vykFD89xvc,2019,1,2019-01,0.008989534648756677,4Fs1sEg9Mwn6vykFD89xvc,0.682,0.515,0.711,79.92,0.006130862630452054,0.004629610344109689,0.006391559135265997,0.7184436091286337
