Position,Track Name,Artist,Streams,URL,Year,Month,Track ID
106,Skam Koh,Azet,516706,https://open.spotify.com/track/1wtKmJbFITh1WRz70QWksh,2019,01,1wtKmJbFITh1WRz70QWksh
107,No Stylist (feat. Drake),French Montana,512940,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A,2019,01,04MLEeAMuV9IlHEsD8vF6A
108,Lucid Dreams,Juice WRLD,511418,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,2019,01,285pBltuF7vW8TeWk8hdRR
110,So Close,NOTD,499061,https://open.spotify.com/track/7FjZU7XFs7P9jHI9Z0yRhK,2019,01,7FjZU7XFs7P9jHI9Z0yRhK
111,Weiß maskiert,Luciano,498290,https://open.spotify.com/track/5ZbcYWBQWoCpuVip1fmeMY,2019,01,5ZbcYWBQWoCpuVip1fmeMY
112,Nevermind,Dennis Lloyd,495887,https://open.spotify.com/track/63SevszngYpZOwf63o61K4,2019,01,63SevszngYpZOwf63o61K4
113,Mo Bamba,Sheck Wes,493465,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,2019,01,1xzBco0xcoJEDXktl7Jxrr
114,Blah Blah Blah,Armin van Buuren,491561,https://open.spotify.com/track/0tp6mwUt99QnfY95T30Lqj,2019,01,7lWUJpax919G4JdaFEVmCy
115,471,Gallo Nero,482481,https://open.spotify.com/track/5MMToWZTIx01kfI6ff999q,2019,01,6igPGkn6ipROLwfrOiAlrh
116,Bella ciao - HUGEL Remix,El Profesor,480776,https://open.spotify.com/track/1MFSD0AkPk8Yq7TDEhrHcb,2019,01,41hAKBCtTuRH2aItnktHJI
117,lovely,Billie Eilish,476222,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf,2019,01,0u2P5u6lvoDfwTYjAADbn4
118,Ohne mein Team,Bonez MC,472409,https://open.spotify.com/track/05Mp2UJulSttxQ4E6hQPH3,2019,01,6hOqWob9hUfgJr68J1vEhJ
120,Falling Down - Bonus Track,Lil Peep,468123,https://open.spotify.com/track/4jvjzW7Hm0yK4LvvE0Paz9,2019,01,4jvjzW7Hm0yK4LvvE0Paz9
121,Aicha,Moe Phoenix,465758,https://open.spotify.com/track/5q0zwlgBB0Ub29dw7wcWKc,2019,01,5qwtZ11jC9VlNYdDcCbfgs
122,Whenever (feat. Conor Maynard),Kris Kross Amsterdam,463823,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z,2019,01,3DGar7krWlmrXRFHBcQF6z
123,Mula,Mert,462940,https://open.spotify.com/track/06xtJscJRJBZjTThCy46iq,2019,01,08EDz6781IVLc3qMn3VneT
124,MoneyGram,Luciano,460269,https://open.spotify.com/track/3a8SCGDMZVKRPgjY8MplFQ,2019,01,3Qe3OyXV7GHGlsxrxdlmlj
125,2002,Anne-Marie,459100,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,2019,01,2BgEsaKNfHUdlh97KmvFyo
126,Bohemian Rhapsody - Remastered 2011,Queen,449815,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J,2019,01,7tFiyTwD0nx5a1eklYtX2J
127,Magisch,Olexesh,447863,https://open.spotify.com/track/4gnuy9VBU2GGrN60UMB79t,2019,01,4gvMBplqidY6XU4ZK5ITUQ
128,ICH HEBE MEIN GLAS,Bato,445058,https://open.spotify.com/track/016Mbj2Kfukbgbmr1WB65E,2019,01,3yXPOnwDAMc1canivf5O8U
129,Sag schon,Veysel,442736,https://open.spotify.com/track/1SDWa2NAPvVjLhIXDM9Zgi,2019,01,5pvXlVpIH6iMRlBMVCve5q
130,Drip Too Hard (Lil Baby & Gunna),Lil Baby,441478,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,2019,01,78QR3Wp35dqAhFEc2qAGjE
131,Jordan Elephant,Ali Bumaye,440351,https://open.spotify.com/track/1d6o7PluLcE4sh4pGHlTbT,2019,01,1d6o7PluLcE4sh4pGHlTbT
133,Vagabund,Bausa,439601,https://open.spotify.com/track/3yhaXZury9ZUpfXvdvuWiB,2019,01,7HaK3CjawpQc6kKJXAIrcw
134,"Jennie (feat. R. City, Bori)",Felix Jaehn,434026,https://open.spotify.com/track/7uM7YZwNZqdDMG0NfGhmux,2019,01,7uM7YZwNZqdDMG0NfGhmux
135,Fame (feat. RAF Camora),Kontra K,433151,https://open.spotify.com/track/1imtCbjVIxYIkurjkye7Dg,2019,01,1imtCbjVIxYIkurjkye7Dg
136,Anderes Niveau,Nimo,429462,https://open.spotify.com/track/0HKQM0ehEP4MLRzBc3ypiv,2019,01,2BzKACFRqdyxpCGUQ1rPWn
137,"Immer wenn wir uns sehn (""Das schönste Mädchen der Welt"", Soundtrack)",LEA,425453,https://open.spotify.com/track/5psDugCQ2V8uayDeSuTvdD,2019,01,5psDugCQ2V8uayDeSuTvdD
138,Habibo,Veysel,421977,https://open.spotify.com/track/3sRndoHhqNPrcrgEIdHs8V,2019,01,194IS9NnPN3clG6v3BakTR
139,Better,Khalid,421863,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,2019,01,6gdLyYNuhWBzqwlOFSsXC7
140,FRIENDS,Marshmello,421511,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G,2019,01,2jQiSYrwJehQAcuaaQrXnS
141,I Love It (& Lil Pump),Kanye West,418556,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ,2019,01,4S8d14HvHb70ImctNgVzQQ
142,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,415604,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x,2019,01,5CLGzJsGqhCEECcpnFQA8x
143,Djadja (feat. Loredana) - Remix,Aya Nakamura,414845,https://open.spotify.com/track/5PBNu79LTOfx1vM1MdxHxP,2019,01,2ksv4nKtoxr0mSR0sHdn1y
144,One Kiss (with Dua Lipa),Calvin Harris,410380,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6,2019,01,7ef4DlsgrMEH11cDZd32M6
145,NBA,Jamule,407238,https://open.spotify.com/track/2NZC7fWQxyBhclpC2fi2Sc,2019,01,6K2anECyrckidwf5wxS78Q
146,This Feeling,The Chainsmokers,404477,https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl,2019,01,4NBTZtAt1F13VvlSKe6KTl
147,Benz oder Beemer,Sinan-G,400466,https://open.spotify.com/track/7IiIFRf7fi7xjzYcvaTR93,2019,01,7IiIFRf7fi7xjzYcvaTR93
148,Berlin lebt,Capital Bra,393714,https://open.spotify.com/track/1zl1smQ584EZKCfLVeYWNq,2019,01,5FGtzUgxycYideaPBFdkaV
149,Like I Do,David Guetta,393300,https://open.spotify.com/track/4aBYzs8RxZMuqyOanNlf8I,2019,01,6RnkFd8Fqqgk1Uni8RgqCQ
150,Floss In The Bank,Tyga,391112,https://open.spotify.com/track/1dYovbTTxX5lGJVEdEStm3,2019,01,3hyKSdJDcYJQgRp3kMrfcs
151,Knöcheltief,Trettmann,386340,https://open.spotify.com/track/7AwPgamlOy97TfTIXDvb4S,2019,01,1ckGMWhdwm7SY4PeMxtKr5
152,Guns & Roses,Helly Luv,382830,https://open.spotify.com/track/5lCvokWXW18wTgJM8pHogY,2019,01,7snQQk1zcKl8gZ92AnueZW
153,Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur,382696,https://open.spotify.com/track/6mQLN3zRtAp6ovjusyYKrV,2019,01,6mQLN3zRtAp6ovjusyYKrV
154,First Off (feat. Travis Scott),Future,381086,https://open.spotify.com/track/3WRIaWsws011vHMd9uzPjG,2019,01,3WRIaWsws011vHMd9uzPjG
155,Butterfly Doors,Lil Pump,379309,https://open.spotify.com/track/4NdXQlDTzxbOMkzJGWFtz3,2019,01,4NdXQlDTzxbOMkzJGWFtz3
156,Crushed Up,Future,377629,https://open.spotify.com/track/7wcyO1rrH3Ru4t659IjG41,2019,01,7wcyO1rrH3Ru4t659IjG41
157,whoa (mind in awe),XXXTENTACION,376438,https://open.spotify.com/track/7pdF27mSDuPWhppnHAmWHa,2019,01,7pdF27mSDuPWhppnHAmWHa
158,Penthouse,Eno,374521,https://open.spotify.com/track/1hYr1CRD22M1uHr0aPCEGm,2019,01,4s48nmzo7Um1Hcx52eNgSF
159,Woman Like Me (feat. Nicki Minaj),Little Mix,373325,https://open.spotify.com/track/222B3aljXx6fFwKmFjuBED,2019,01,222B3aljXx6fFwKmFjuBED
160,Youngblood,5 Seconds of Summer,371929,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,2019,01,2iUXsYOEPhVqEBwsqP70rE
161,God's Plan,Drake,368956,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,2019,01,6DCZcSspjsKoFjzjrWoCdn
162,Nike Pullover,Azet,366086,https://open.spotify.com/track/4rAN7PfOWxyR9MAeUd7wLy,2019,01,4rAN7PfOWxyR9MAeUd7wLy
163,In the End,Linkin Park,365681,https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq,2019,01,60a0Rd6pjrkxjPbaKzXjfq
164,no tears left to cry,Ariana Grande,364236,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo,2019,01,2qT1uLXPVPzGgFOx4jtEuo
165,Sonnenbrille,Loredana,363465,https://open.spotify.com/track/14kafeLy8vQRvGhA9nQnC8,2019,01,14kafeLy8vQRvGhA9nQnC8
166,I Like It,Cardi B,362166,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z,2019,01,58q2HKrzhC3ozto2nDdN4z
167,Barking,Ramz,362121,https://open.spotify.com/track/2U5cq89GCnsR1yixKkC8d5,2019,01,2U5cq89GCnsR1yixKkC8d5
168,More Than You Know,Axwell /\ Ingrosso,361325,https://open.spotify.com/track/6h5PAsRni4IRlxWr6uDPTP,2019,01,6h5PAsRni4IRlxWr6uDPTP
169,Oh Child,Robin Schulz,360340,https://open.spotify.com/track/77VLYTyrdlHEWcjhjQoXlz,2019,01,77VLYTyrdlHEWcjhjQoXlz
170,Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,359542,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG,2019,01,5Xn4IyTtW6FUGIUyWjbUHG
171,Shotgun,George Ezra,357289,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC,2019,01,4ofwffwvvnbSkrMSCKQDaC
172,200KM/H,Noah,356692,https://open.spotify.com/track/6gqzaxIPbG38wkRTE9kigP,2019,01,5p2UxrXnkSr3a34nRojDzU
173,Leave Me Alone,Flipp Dinero,355448,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g,2019,01,6V7g6qM8wheMivMWrzbPTM
174,Someone You Loved,Lewis Capaldi,354726,https://open.spotify.com/track/2TIlqbIneP0ZY1O0EzYLlc,2019,01,7qEHsqek33rTcFNT9PFqLf
175,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,353257,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z,2019,01,7ycWLEP1GsNjVvcjawXz3z
176,Cordula Grün,Josh.,350339,https://open.spotify.com/track/483ykNWhSQXYprueXUMNeo,2019,01,4opws29UWfToqa6yLjAoI7
177,Kennzeichen B-TK,Capital Bra,347933,https://open.spotify.com/track/4kAIdBQEmb1M9ryd9tNSCD,2019,01,3fJGfuKbciqlXa6eXpdTH3
178,In My Feelings,Drake,346410,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ,2019,01,2G7V7zsVDxg1yRsu7Ew9RJ
