Position,Track Name,Artist,Streams,URL,Year,Month,Track ID,Danceability,Energy,Valence
106,MOJAITA,J Balvin,596530,https://open.spotify.com/track/71pEiUWwfDFiRO6RmFpnBf,2019,7,71pEiUWwfDFiRO6RmFpnBf,0.45,0.842,0.885
107,Never Really Over,Katy Perry,593595,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0,2019,7,5PYQUBXc7NYeI1obMKSJK0,0.77,0.882,0.385
108,Devuélveme a mi chica,Hombres G,589156,https://open.spotify.com/track/1Wrzhfa5bNlqvsnCztz190,2019,7,1Wrzhfa5bNlqvsnCztz190,0.603,0.843,0.503
109,Presiento,Morat,588026,https://open.spotify.com/track/2V4hc5gplg7EXlrRUvD4rp,2019,7,0gYnWBpArbOOokGLDDhzyG,0.51,0.438,0.4
110,Que Le De,Rauw Alejandro,587406,https://open.spotify.com/track/08aYFNUTIOMGq93e2VSArQ,2019,7,08aYFNUTIOMGq93e2VSArQ,0.77,0.75,0.609
111,Shape of You,Ed Sheeran,586410,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2019,7,7qiZfU4dY1lWllzX7mPBI3,0.825,0.652,0.931
112,Probablemente,Christian Nodal,584017,https://open.spotify.com/track/4prmUBle7TtAeeUgCnsc3Z,2019,7,4prmUBle7TtAeeUgCnsc3Z,0.589,0.49,0.604
113,Reggaeton,J Balvin,583735,https://open.spotify.com/track/2D3z17LBMJ2HEHeBFFjTLi,2019,7,6yVkakCN460KOVol9ZazjH,0.694,0.796,0.515
114,Seremos,El Bebeto,581560,https://open.spotify.com/track/0B5nnPv1ebuo0VFXCMfUij,2019,7,0B5nnPv1ebuo0VFXCMfUij,0.699,0.444,0.525
115,La Dosis Perfecta,Panteon Rococo,579838,https://open.spotify.com/track/7qKtcEDbth6kOM5s4uJzw3,2019,7,5bymCzswBkt0deeD1hlTIq,0.674,0.771,0.966
116,Cuando Nadie Ve,Morat,578181,https://open.spotify.com/track/71iAechwVKGu26pahzFL0k,2019,7,71iAechwVKGu26pahzFL0k,0.806,0.778,0.84
117,Aerolínea Carrillo,T3R Elemento,573318,https://open.spotify.com/track/0xYTyyfV767E2Vn3hz56kL,2019,7,0xYTyyfV767E2Vn3hz56kL,0.669,0.561,0.867
118,La Boca - Remix,Mau y Ricky,570732,https://open.spotify.com/track/2EEmzqzM70CybVspgM7YRT,2019,7,2EEmzqzM70CybVspgM7YRT,0.691,0.773,0.85
119,El Amor de Mi Vida,La Adictiva Banda San José de Mesillas,568288,https://open.spotify.com/track/2xxq5LXFBFyawPChsOOWVu,2019,7,2xxq5LXFBFyawPChsOOWVu,0.692,0.503,0.786
120,Girls Like You (feat. Cardi B),Maroon 5,565741,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,2019,7,6V1bu6o1Yo5ZXnsCJU8Ovk,0.851,0.541,0.448
121,Mejor No Nos Vemos,Rels B,563347,https://open.spotify.com/track/4jRSV2R1mO5pQ5upXATMi2,2019,7,6NT4RZ6CF6qFJqslGdqaRM,0.554,0.652,0.346
122,Beautiful People (feat. Khalid),Ed Sheeran,560556,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,2019,7,4evmHXcjt3bTUHD1cvny97,0.64,0.648,0.548
