Position,Track Name,Artist,Streams,URL,Year,Month,Track ID,Danceability,Energy,Valence
150,Intenção - Ao Vivo,Marília Mendonça,617062,https://open.spotify.com/track/1qy7aOHnfnOMJoT1fhoLYG,2020,3,1qy7aOHnfnOMJoT1fhoLYG,0.613,0.611,0.628
151,Piece Of Your Heart,MEDUZA,609118,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs,2020,3,1DFD5Fotzgn6yYXkYsKiGs,0.677,0.744,0.631
152,Flor Que Se Cheira - Ao Vivo,Guilherme & Benuto,606809,https://open.spotify.com/track/49pu85144Xir6PgWjeyJhG,2020,3,49pu85144Xir6PgWjeyJhG,0.681,0.76,0.799
153,Believer,Imagine Dragons,600209,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,2020,3,0pqnGHJpmpxLKifKRmU6WP,0.776,0.78,0.666
154,Café,Vitão,594569,https://open.spotify.com/track/6i9ToXS6CAfjpp8veBklg1,2020,3,7l28SBHS3zmKDVnOzG8BM7,0.696,0.672,0.581
155,Até que enfim - Ao vivo,Ferrugem,590271,https://open.spotify.com/track/1zI3RU0boCVsAXChjCvESu,2020,3,1zI3RU0boCVsAXChjCvESu,0.568,0.703,0.74
156,Até o céu,Anitta,587337,https://open.spotify.com/track/0NRP5OIrTcgGvttJlSLO0n,2020,3,0NRP5OIrTcgGvttJlSLO0n,0.628,0.874,0.691
157,Vidrado Em Você,Dj Guuga,584291,https://open.spotify.com/track/2kOmW169C7UV4SZDN9u0YO,2020,3,2kOmW169C7UV4SZDN9u0YO,0.843,0.925,0.59
158,Lalala,Y2K,582982,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo,2020,3,51Fjme0JiitpyXKuyQiCDo,0.843,0.39,0.495
159,After Hours,The Weeknd,582226,https://open.spotify.com/track/2p8IUWQDrpjuFltbdgLOag,2020,3,2p8IUWQDrpjuFltbdgLOag,0.664,0.572,0.143
160,Carnaval Chegando - Ao Vivo,Rennan da Penha,582115,https://open.spotify.com/track/4A8LKlysJXq8swPVDPd0xH,2020,3,4A8LKlysJXq8swPVDPd0xH,0.714,0.863,0.668
161,50 Vezes - Ao Vivo,Sorriso Maroto,580536,https://open.spotify.com/track/01wavOnjFBNgdMWBFYIAP4,2020,3,01wavOnjFBNgdMWBFYIAP4,0.561,0.65,0.597
