Position,Track Name,Artist,Streams,URL,Year,Month,Track ID,Danceability,Energy,Valence
26,Eastside (with Halsey & Khalid),benny blanco,24639,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,2019,1,0d2iYfpKoM0QCKvcLCkBao,0.56,0.68,0.319
27,Azadi,Dub Sharma,24325,https://open.spotify.com/track/07qSl2sNpFNILaYyZ6yIS9,2019,1,07qSl2sNpFNILaYyZ6yIS9,0.846,0.693,0.456
28,Proper Patola,Badshah,22947,https://open.spotify.com/track/39ujbBjTwwqUFySaCYDMMT,2019,1,39ujbBjTwwqUFySaCYDMMT,0.77,0.824,0.49
29,The Humma Song,A.R. Rahman,22781,https://open.spotify.com/track/7heMX7gyHP0mhTlNgd7Lxd,2019,1,7heMX7gyHP0mhTlNgd7Lxd,0.721,0.65,0.391
30,Bohemian Rhapsody - Remastered 2011,Queen,22739,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J,2019,1,7tFiyTwD0nx5a1eklYtX2J,0.392,0.402,0.228
31,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,22168,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019,1,4w8niZpiMy6qz1mntFA5uM,0.842,0.801,0.617
32,Giant (with Rag'n'Bone Man),Calvin Harris,21674,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd,2019,1,5itOtNx0WxtJmi1TQ3RuRd,0.807,0.887,0.606
33,Mere Gully Mein,Ranveer Singh,20163,https://open.spotify.com/track/7fKywVasHSlshJQpkN2atd,2019,1,7fKywVasHSlshJQpkN2atd,0.844,0.617,0.159
34,Better Now,Post Malone,20072,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,2019,1,7dt6x5M1jzdTEt8oCbisTK,0.68,0.578,0.341
35,Enna Sona,A.R. Rahman,19988,https://open.spotify.com/track/6bdpj89aYEBjhpsenXAsmO,2019,1,6bdpj89aYEBjhpsenXAsmO,0.717,0.416,0.381
36,Asli Hip Hop,Ranveer Singh,19903,https://open.spotify.com/track/4ZIvqmpihn94QyFfGcQtdZ,2019,1,4ZIvqmpihn94QyFfGcQtdZ,0.667,0.641,0.963
37,"Dilbar (From ""Satyameva Jayate"")",Neha Kakkar,19819,https://open.spotify.com/track/4tjLYTXFqZhkUDga4bQ0yl,2019,1,4tjLYTXFqZhkUDga4bQ0yl,0.725,0.912,0.674
38,"Morni Banke (From ""Badhaai Ho"")",Guru Randhawa,19576,https://open.spotify.com/track/2Wu9PNpLUCBl3W1GaPqkhl,2019,1,2Wu9PNpLUCBl3W1GaPqkhl,0.816,0.922,0.887
39,Girls Like You (feat. Cardi B),Maroon 5,18798,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,2019,1,6V1bu6o1Yo5ZXnsCJU8Ovk,0.851,0.541,0.448
40,11 Minutes (with Halsey feat. Travis Barker),YUNGBLUD,18715,https://open.spotify.com/track/4mGdjNMo0RonTlOEb7cYg4,2019,1,4mGdjNMo0RonTlOEb7cYg4,0.464,0.852,0.233
41,Thotiana,Blueface,18655,https://open.spotify.com/track/3oh6SCCeLuXhFpEyepla6G,2019,1,5GBuCHuPKx6UC7VsSPK0t3,0.906,0.382,0.391
42,365,Zedd,18226,https://open.spotify.com/track/2XWjPtKdi5sucFYtVav07d,2019,1,2XWjPtKdi5sucFYtVav07d,0.745,0.693,0.248
43,rockstar (feat. 21 Savage),Post Malone,17966,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,2019,1,0e7ipj03S05BNilyu5bRzt,0.585,0.52,0.129
44,I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,17843,https://open.spotify.com/track/6yIdwnpDHufLWgQcveTPMk,2019,1,55n9yjI6qqXh5F2mYvUc2y,0.731,0.445,0.106
45,Pure Water (with Migos),Mustard,17721,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp,2019,1,3j84U36KvLeXNDPv4t5pI8,0.682,0.559,0.137
46,I Guess I Just Feel Like,John Mayer,17494,https://open.spotify.com/track/1HNywa8Bk0TmzRwQrzhtPo,2019,1,1HNywa8Bk0TmzRwQrzhtPo,0.556,0.528,0.163
47,Robbery,Juice WRLD,17078,https://open.spotify.com/track/44ShclXTOOnYtt5CnCDeGV,2019,1,6Hj9jySrnFppAI0sEMCZpJ,0.685,0.692,0.578
48,"Photo (From ""Luka Chuppi"")",Karan Sehmbi,16794,https://open.spotify.com/track/5wdlz4N7s1Xyr4y4RXhZJM,2019,1,5wdlz4N7s1Xyr4y4RXhZJM,0.739,0.644,0.315
49,Treat You Better,Shawn Mendes,16770,https://open.spotify.com/track/3QGsuHI8jO1Rx4JWLUh9jd,2019,1,3QGsuHI8jO1Rx4JWLUh9jd,0.444,0.819,0.747
50,I Like Me Better,Lauv,16762,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ,2019,1,2P91MQbaiQOfbiz9VqhqKQ,0.752,0.505,0.419
51,FAKE LOVE,BTS,16624,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo,2019,1,343YBumqHu19cGoGARUTsd,0.928,0.481,0.613
52,Emiway-Samajh Mein Aaya Kya?,Emiway Bantai,16469,https://open.spotify.com/track/7n8xH63Whw5spavIWScPIh,2019,1,7n8xH63Whw5spavIWScPIh,0.784,0.45,0.608
53,"Dil Beparvah - The Dewarists, Season 5",Ankur Tewari,16418,https://open.spotify.com/track/4kXkT9HF9ZfDjuv3LIKcwJ,2019,1,4kXkT9HF9ZfDjuv3LIKcwJ,0.762,0.391,0.355
54,Hawayein,Pritam,15936,https://open.spotify.com/track/0l6g8Z8mqGbGXFOjigYetD,2019,1,0l6g8Z8mqGbGXFOjigYetD,0.606,0.601,0.453
55,Doori,Ranveer Singh,15577,https://open.spotify.com/track/3L1JZLKvULunqV2qkjBJsp,2019,1,5doYtCoJ8KpfkFczP3F2ad,0.517,0.716,0.594
56,Think About You,Kygo,15300,https://open.spotify.com/track/3Kuu5vASpXK8oRsxOvau6P,2019,1,3Kuu5vASpXK8oRsxOvau6P,0.673,0.596,0.19
57,a lot,21 Savage,15209,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d,2019,1,2t8yVaLvJ0RenpXUIAC52d,0.837,0.636,0.274
58,MIA (feat. Drake),Bad Bunny,15047,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019,1,116H0KvKr2Zl4RPuVBruDO,0.817,0.539,0.158
