Position,Track Name,Artist,Streams,URL,Year,Month,Track ID,Danceability,Valence,Energy
115,471,Gallo Nero,482481,https://open.spotify.com/track/5MMToWZTIx01kfI6ff999q,2019,1,6igPGkn6ipROLwfrOiAlrh,0.691,0.469,0.309
116,Bella ciao - HUGEL Remix,El Profesor,480776,https://open.spotify.com/track/1MFSD0AkPk8Yq7TDEhrHcb,2019,1,41hAKBCtTuRH2aItnktHJI,0.842,0.488,0.647
117,lovely,Billie Eilish,476222,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf,2019,1,0u2P5u6lvoDfwTYjAADbn4,0.351,0.296,0.12
118,Ohne mein Team,Bonez MC,472409,https://open.spotify.com/track/05Mp2UJulSttxQ4E6hQPH3,2019,1,6hOqWob9hUfgJr68J1vEhJ,0.773,0.8,0.637
120,Falling Down - Bonus Track,Lil Peep,468123,https://open.spotify.com/track/4jvjzW7Hm0yK4LvvE0Paz9,2019,1,4jvjzW7Hm0yK4LvvE0Paz9,0.669,0.574,0.273
121,Aicha,Moe Phoenix,465758,https://open.spotify.com/track/5q0zwlgBB0Ub29dw7wcWKc,2019,1,5qwtZ11jC9VlNYdDcCbfgs,0.596,0.663,0.506
122,Whenever (feat. Conor Maynard),Kris Kross Amsterdam,463823,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z,2019,1,3DGar7krWlmrXRFHBcQF6z,0.734,0.765,0.518
123,Mula,Mert,462940,https://open.spotify.com/track/06xtJscJRJBZjTThCy46iq,2019,1,08EDz6781IVLc3qMn3VneT,0.635,0.841,0.188
124,MoneyGram,Luciano,460269,https://open.spotify.com/track/3a8SCGDMZVKRPgjY8MplFQ,2019,1,3Qe3OyXV7GHGlsxrxdlmlj,0.574,0.75,0.23
125,2002,Anne-Marie,459100,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,2019,1,2BgEsaKNfHUdlh97KmvFyo,0.697,0.683,0.603
126,Bohemian Rhapsody - Remastered 2011,Queen,449815,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J,2019,1,7tFiyTwD0nx5a1eklYtX2J,0.392,0.402,0.228
127,Magisch,Olexesh,447863,https://open.spotify.com/track/4gnuy9VBU2GGrN60UMB79t,2019,1,4gvMBplqidY6XU4ZK5ITUQ,0.778,0.561,0.231
128,ICH HEBE MEIN GLAS,Bato,445058,https://open.spotify.com/track/016Mbj2Kfukbgbmr1WB65E,2019,1,3yXPOnwDAMc1canivf5O8U,0.778,0.72,0.301
129,Sag schon,Veysel,442736,https://open.spotify.com/track/1SDWa2NAPvVjLhIXDM9Zgi,2019,1,5pvXlVpIH6iMRlBMVCve5q,0.765,0.592,0.0441
130,Drip Too Hard (Lil Baby & Gunna),Lil Baby,441478,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,2019,1,78QR3Wp35dqAhFEc2qAGjE,0.897,0.662,0.389
131,Jordan Elephant,Ali Bumaye,440351,https://open.spotify.com/track/1d6o7PluLcE4sh4pGHlTbT,2019,1,1d6o7PluLcE4sh4pGHlTbT,0.947,0.668,0.926
133,Vagabund,Bausa,439601,https://open.spotify.com/track/3yhaXZury9ZUpfXvdvuWiB,2019,1,7HaK3CjawpQc6kKJXAIrcw,0.74,0.47,0.965
134,"Jennie (feat. R. City, Bori)",Felix Jaehn,434026,https://open.spotify.com/track/7uM7YZwNZqdDMG0NfGhmux,2019,1,7uM7YZwNZqdDMG0NfGhmux,0.799,0.798,0.594
135,Fame (feat. RAF Camora),Kontra K,433151,https://open.spotify.com/track/1imtCbjVIxYIkurjkye7Dg,2019,1,1imtCbjVIxYIkurjkye7Dg,0.71,0.669,0.26
136,Anderes Niveau,Nimo,429462,https://open.spotify.com/track/0HKQM0ehEP4MLRzBc3ypiv,2019,1,2BzKACFRqdyxpCGUQ1rPWn,0.664,0.776,0.643
137,"Immer wenn wir uns sehn (""Das schönste Mädchen der Welt"", Soundtrack)",LEA,425453,https://open.spotify.com/track/5psDugCQ2V8uayDeSuTvdD,2019,1,5psDugCQ2V8uayDeSuTvdD,0.582,0.779,0.468
138,Habibo,Veysel,421977,https://open.spotify.com/track/3sRndoHhqNPrcrgEIdHs8V,2019,1,194IS9NnPN3clG6v3BakTR,0.809,0.716,0.926
139,Better,Khalid,421863,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,2019,1,6gdLyYNuhWBzqwlOFSsXC7,0.552,0.225,0.67
140,FRIENDS,Marshmello,421511,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G,2019,1,2jQiSYrwJehQAcuaaQrXnS,0.422,0.609,0.0911
141,I Love It (& Lil Pump),Kanye West,418556,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ,2019,1,4S8d14HvHb70ImctNgVzQQ,0.901,0.522,0.329
142,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,415604,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x,2019,1,5CLGzJsGqhCEECcpnFQA8x,0.653,0.809,0.55
143,Djadja (feat. Loredana) - Remix,Aya Nakamura,414845,https://open.spotify.com/track/5PBNu79LTOfx1vM1MdxHxP,2019,1,2ksv4nKtoxr0mSR0sHdn1y,0.831,0.745,0.587
144,One Kiss (with Dua Lipa),Calvin Harris,410380,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6,2019,1,7ef4DlsgrMEH11cDZd32M6,0.791,0.862,0.592
145,NBA,Jamule,407238,https://open.spotify.com/track/2NZC7fWQxyBhclpC2fi2Sc,2019,1,6K2anECyrckidwf5wxS78Q,0.769,0.807,0.364
146,This Feeling,The Chainsmokers,404477,https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl,2019,1,4NBTZtAt1F13VvlSKe6KTl,0.575,0.571,0.449
147,Benz oder Beemer,Sinan-G,400466,https://open.spotify.com/track/7IiIFRf7fi7xjzYcvaTR93,2019,1,7IiIFRf7fi7xjzYcvaTR93,0.751,0.67,0.511
148,Berlin lebt,Capital Bra,393714,https://open.spotify.com/track/1zl1smQ584EZKCfLVeYWNq,2019,1,5FGtzUgxycYideaPBFdkaV,0.651,0.655,0.393
149,Like I Do,David Guetta,393300,https://open.spotify.com/track/4aBYzs8RxZMuqyOanNlf8I,2019,1,6RnkFd8Fqqgk1Uni8RgqCQ,0.635,0.9,0.15
