,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
159,"Halka Halka (From ""Fanney Khan"")","Sunidhi Chauhan",107210,https://open.spotify.com/track/44O26Gv1wQrlUj14PpTolM
160,"i'm so tired...",Lauv,105715,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
161,Wow.,"Post Malone",105215,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
162,China,"Anuel AA",105207,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
163,"Mere Rashke Qamar (From ""Baadshaho"")","Nusrat Fateh Ali Khan",104921,https://open.spotify.com/track/50sbcAcWHgDPRDkYBEUpkA
164,"I Love You",Akull,104491,https://open.spotify.com/track/3JpCEsowGqogUvTAKA4JuW
165,"Ae Dil Hai Mushkil Title Track",Pritam,104152,https://open.spotify.com/track/1UWacd8x8tPPwmrPB1MoBI
166,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",102536,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
167,"bad guy (with Justin Bieber)","Billie Eilish",102277,https://open.spotify.com/track/3yNZ5r3LKfdmjoS3gkhUCT
168,"Sau Aasmaan","Armaan Malik",101807,https://open.spotify.com/track/0zHZSO80CTxNtvtRhveHRJ
169,"Money In The Grave (Drake ft. Rick Ross)",Drake,101731,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
170,Urvashi,"Yo Yo Honey Singh",101471,https://open.spotify.com/track/342pJxy678kgQrZXCL9RG7
171,Wolves,"Selena Gomez",100907,https://open.spotify.com/track/0tBbt8CrmxbjRP0pueQkyU
172,"Nira Ishq",Guri,100353,https://open.spotify.com/track/1gl8BBFdMRrgb3P7Jz5JQT
173,"lovely (with Khalid)","Billie Eilish",100010,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
174,Bulleya,Pritam,99600,https://open.spotify.com/track/0Bz7dfqPY4JOGZO3O1j8Wh
175,"Kar Gayi Chull",Badshah,99549,https://open.spotify.com/track/3fPgIknlkDWXs1l2noKZbp
176,Iktara,"Amit Trivedi",99547,https://open.spotify.com/track/3jtKSUiVDowKNBqVQbWaig
177,"Agar Tum Saath Ho (From ""Tamasha"")","Alka Yagnik",99328,https://open.spotify.com/track/1fzAokzOONl4XEPUFoammu
178,"Bolna (From ""Kapoor & Sons (Since 1921)"")","Tanishk Bagchi",98855,https://open.spotify.com/track/3GrCQPpKqKzOcKfMAoqn82
179,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)","benny blanco",98820,https://open.spotify.com/track/1WSGTYKLEpKfNQYYW5Oymt
180,"Something Just Like This","The Chainsmokers",98371,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
181,"Bom Diggy Diggy","Zack Knight",98255,https://open.spotify.com/track/6qCNaRRr5xJALfNJvh0NAw
182,"I Don’t Wanna Live Forever (Fifty Shades Darker)",ZAYN,97401,https://open.spotify.com/track/6yIdwnpDHufLWgQcveTPMk
183,"Romantic Mashup 2",Mithoon,97224,https://open.spotify.com/track/42WGQxg2lPIFBt8ZRHQ4Q4
184,"Death By A Thousand Cuts","Taylor Swift",97013,https://open.spotify.com/track/2dgFqt3w9xIQRjhPtwNk3D
185,Pagol,"Deep Jandu",96641,https://open.spotify.com/track/6vKTm5I3Nqpw6CJt7NgHLz
186,"Kyun Rabba","Armaan Malik",96432,https://open.spotify.com/track/68QwG6Ni1jFQc5Fit2iXp0
187,Mercy,Badshah,96061,https://open.spotify.com/track/04VUjNx30IrigVZU3CQmrQ
188,Kabira,Pritam,94416,https://open.spotify.com/track/4bD9z9qa4qg9BhryvYWB7c
189,Afterglow,"Taylor Swift",94099,https://open.spotify.com/track/1SymEzIT3H8UZfibCs3TYi
190,"Ghar More Pardesiya","Shreya Ghoshal",93585,https://open.spotify.com/track/1bx6spmieE655BQvWdTYKA
191,"Better Now","Post Malone",93579,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
192,Photograph,"Ed Sheeran",92405,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
193,"Pehli Dafa","Atif Aslam",92176,https://open.spotify.com/track/4Tkb7zsDmsawB7S5TpKQV1
194,"Here With Me",Marshmello,91885,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
195,Darkside,"Alan Walker",91383,https://open.spotify.com/track/6SRWhUJcD2YKahCwHavz3X
196,"Teri Mitti - Female Version (Kesari)",Arko,91254,https://open.spotify.com/track/6bY2lEYwgJRnoPWWT1Hld9
197,"Live Fast - PUBGM","Alan Walker",91246,https://open.spotify.com/track/2AyFIMdLgqv5yjbPzIF6Qx
198,"Tera Zikr","Darshan Raval",90745,https://open.spotify.com/track/0OfaueVeRebAfWsAHajj3z
199,"Dusk Till Dawn - Radio Edit",ZAYN,90235,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
200,"Jarra Jarra (From ""Valmiki"")","Mickey J. Meyer",90210,https://open.spotify.com/track/1wVHlN2inEmT6f38MunqFi
